# Amusement Detection Log
# Date: 2026-01-06 15:07:04
# Subject: Maria
# Age: 22
# Gender: Female
------------------------------
time, video_id, au25, au12, au6, audio, smile, laughter, amusement
00:09, wqMQNIlzdGk, 0.013, 0.122, 0.001, 0.276, 0.061, 0.094, 0.081
00:09, wqMQNIlzdGk, 0.012, 0.121, 0.000, 0.195, 0.060, 0.078, 0.071
00:09, wqMQNIlzdGk, 0.010, 0.119, 0.000, 0.138, 0.059, 0.065, 0.063
00:09, wqMQNIlzdGk, 0.010, 0.117, 0.000, 0.098, 0.059, 0.057, 0.057
00:09, wqMQNIlzdGk, 0.013, 0.120, 0.000, 0.070, 0.060, 0.053, 0.056
00:09, wqMQNIlzdGk, 0.017, 0.126, 0.000, 0.050, 0.063, 0.051, 0.056
00:09, wqMQNIlzdGk, 0.020, 0.128, 0.000, 0.041, 0.064, 0.051, 0.056
00:09, wqMQNIlzdGk, 0.021, 0.129, 0.000, 0.034, 0.065, 0.050, 0.056
00:09, wqMQNIlzdGk, 0.020, 0.126, 0.000, 0.030, 0.063, 0.048, 0.054
00:09, wqMQNIlzdGk, 0.019, 0.125, 0.000, 0.026, 0.062, 0.046, 0.053
00:09, wqMQNIlzdGk, 0.018, 0.124, 0.000, 0.024, 0.062, 0.045, 0.052
00:10, wqMQNIlzdGk, 0.017, 0.124, 0.000, 0.023, 0.062, 0.045, 0.052
00:10, wqMQNIlzdGk, 0.018, 0.125, 0.000, 0.022, 0.063, 0.046, 0.052
00:10, wqMQNIlzdGk, 0.019, 0.126, 0.000, 0.021, 0.063, 0.046, 0.053
00:10, wqMQNIlzdGk, 0.018, 0.132, 0.000, 0.015, 0.066, 0.046, 0.054
00:10, wqMQNIlzdGk, 0.018, 0.133, 0.000, 0.010, 0.067, 0.046, 0.054
00:10, wqMQNIlzdGk, 0.017, 0.132, 0.000, 0.007, 0.066, 0.044, 0.053
00:10, wqMQNIlzdGk, 0.014, 0.131, 0.000, 0.005, 0.065, 0.043, 0.052
00:10, wqMQNIlzdGk, 0.011, 0.129, 0.000, 0.004, 0.065, 0.042, 0.051
00:10, wqMQNIlzdGk, 0.009, 0.127, 0.000, 0.003, 0.063, 0.040, 0.050
00:10, wqMQNIlzdGk, 0.007, 0.124, 0.000, 0.002, 0.062, 0.039, 0.048
00:10, wqMQNIlzdGk, 0.007, 0.121, 0.000, 0.002, 0.061, 0.038, 0.047
00:10, wqMQNIlzdGk, 0.006, 0.119, 0.000, 0.001, 0.059, 0.037, 0.046
00:10, wqMQNIlzdGk, 0.006, 0.116, 0.000, 0.001, 0.058, 0.036, 0.045
00:10, wqMQNIlzdGk, 0.005, 0.114, 0.000, 0.001, 0.057, 0.035, 0.044
00:10, wqMQNIlzdGk, 0.006, 0.114, 0.000, 0.001, 0.057, 0.035, 0.044
00:10, wqMQNIlzdGk, 0.006, 0.115, 0.000, 0.001, 0.057, 0.036, 0.044
00:11, wqMQNIlzdGk, 0.008, 0.112, 0.000, 0.001, 0.056, 0.035, 0.044
00:11, wqMQNIlzdGk, 0.009, 0.117, 0.000, 0.001, 0.058, 0.037, 0.046
00:11, wqMQNIlzdGk, 0.009, 0.118, 0.000, 0.001, 0.059, 0.037, 0.046
00:11, wqMQNIlzdGk, 0.011, 0.113, 0.000, 0.001, 0.057, 0.036, 0.044
00:11, wqMQNIlzdGk, 0.011, 0.110, 0.000, 0.001, 0.055, 0.035, 0.043
